month,day,year,time,actual,forecast,previous,datetime
Jan,31,2024, 18:30,1.234,-0.217,-9.233,2024-01-31 18:30:00
Jan,24,2024, 18:30,-9.233,-2.15,-2.492,2024-01-24 18:30:00
Jan,18,2024, 19:00,-2.492,-0.313,1.338,2024-01-18 19:00:00
Jan,10,2024, 18:30,1.338,-0.675,-5.503,2024-01-10 18:30:00
Jan,4,2024, 19:00,-5.503,-3.725,-7.114,2024-01-04 19:00:00
Dec,28,2023, 19:00,-7.114,-2.704,2.909,2023-12-28 19:00:00
Dec,20,2023, 18:30,2.909,-2.283,-4.259,2023-12-20 18:30:00
Dec,13,2023, 18:30,-4.259,-0.65,-4.632,2023-12-13 18:30:00
Dec,6,2023, 18:30,-4.632,-1.354,1.609,2023-12-06 18:30:00
Nov,29,2023, 18:30,1.609,-0.933,8.701,2023-11-29 18:30:00
Nov,22,2023, 18:30,8.701,1.16,3.592,2023-11-22 18:30:00
Nov,15,2023, 18:30,3.6,1.793,0.774,2023-11-15 18:30:00
Nov,1,2023, 17:30,0.774,1.261,1.371,2023-11-01 17:30:00
Oct,25,2023, 17:30,1.371,0.239,-4.491,2023-10-25 17:30:00
Oct,18,2023, 17:30,-4.491,-0.3,10.176,2023-10-18 17:30:00
Oct,12,2023, 18:00,10.176,0.492,-2.224,2023-10-12 18:00:00
Oct,4,2023, 17:30,-2.224,-0.446,-2.17,2023-10-04 17:30:00
Sep,27,2023, 17:30,-2.17,-1.32,-2.135,2023-09-27 17:30:00
Sep,20,2023, 17:30,-2.135,-2.2,3.954,2023-09-20 17:30:00
Sep,13,2023, 17:30,3.954,-1.912,-6.307,2023-09-13 17:30:00
Sep,7,2023, 18:00,-6.307,-2.064,-10.584,2023-09-07 18:00:00
Aug,30,2023, 17:30,-10.584,-3.267,-6.135,2023-08-30 17:30:00
Aug,23,2023, 17:30,-6.135,-2.85,-5.96,2023-08-23 17:30:00
Aug,16,2023, 17:30,-5.96,-2.32,5.851,2023-08-16 17:30:00
Aug,9,2023, 17:30,5.851,0.567,-17.049,2023-08-09 17:30:00
Aug,2,2023, 17:30,-17.049,-1.367,-0.6,2023-08-02 17:30:00
Jul,26,2023, 17:30,-0.6,-2.348,-0.708,2023-07-26 17:30:00
Jul,19,2023, 17:30,-0.708,-2.44,5.946,2023-07-19 17:30:00
Jul,12,2023, 17:30,5.946,0.483,-1.508,2023-07-12 17:30:00
Jul,6,2023, 18:00,-1.508,-0.983,-9.603,2023-07-06 18:00:00
Jun,28,2023, 17:30,-9.603,-1.757,-3.831,2023-06-28 17:30:00
Jun,22,2023, 18:00,-3.831,0.329,7.919,2023-06-22 18:00:00
Jun,14,2023, 17:30,7.919,1.482,-0.451,2023-06-14 17:30:00
Jun,7,2023, 17:30,-0.451,1.022,4.488,2023-06-07 17:30:00
Jun,1,2023, 18:00,4.488,-1.101,-12.456,2023-06-01 18:00:00
May,24,2023, 17:30,-12.456,-0.92,5.04,2023-05-24 17:30:00
May,17,2023, 17:30,5.04,-0.92,2.951,2023-05-17 17:30:00
May,10,2023, 17:30,2.951,-0.917,-1.28,2023-05-10 17:30:00
May,3,2023, 17:30,-1.28,-1.1,-5.054,2023-05-03 17:30:00
Apr,26,2023, 17:30,-5.054,-1.486,-4.581,2023-04-26 17:30:00
Apr,19,2023, 17:30,-4.581,-1.088,0.597,2023-04-19 17:30:00
Apr,12,2023, 17:30,0.597,-0.583,-3.739,2023-04-12 17:30:00
Apr,5,2023, 17:30,-3.739,-2.329,-7.489,2023-04-05 17:30:00
Mar,29,2023, 17:30,-7.489,0.092,1.117,2023-03-29 17:30:00
Mar,22,2023, 17:30,1.117,-1.565,1.55,2023-03-22 17:30:00
Mar,15,2023, 17:30,1.55,1.188,-1.694,2023-03-15 17:30:00
Mar,8,2023, 18:30,-1.694,0.395,1.165,2023-03-08 18:30:00
Mar,1,2023, 18:30,1.165,0.457,7.648,2023-03-01 18:30:00
Feb,23,2023, 19:00,7.648,2.083,16.283,2023-02-23 19:00:00
Feb,15,2023, 18:30,16.283,1.166,2.423,2023-02-15 18:30:00
Feb,8,2023, 18:30,2.423,2.457,4.14,2023-02-08 18:30:00
Feb,1,2023, 18:30,4.14,0.376,0.533,2023-02-01 18:30:00
Jan,25,2023, 18:30,0.533,0.971,8.408,2023-01-25 18:30:00
Jan,19,2023, 19:00,8.408,-0.593,18.962,2023-01-19 19:00:00
Jan,11,2023, 18:30,18.962,-2.243,1.694,2023-01-11 18:30:00
Jan,5,2023, 19:00,1.694,1.154,0.718,2023-01-05 19:00:00
Dec,29,2022, 19:00,0.718,-1.52,-5.894,2022-12-29 19:00:00
Dec,21,2022, 18:30,-5.894,-1.657,10.231,2022-12-21 18:30:00
