ts_event,open,high,low,close,volume,returns,volatility,real_volatility
2014-01-02 00:00:00+00:00,3575.75,3579.0,3549.0,3560.75,197028,-15.0,30.44018495742864,
2014-01-03 00:00:00+00:00,3560.75,3566.5,3527.25,3530.75,194982,-30.0,30.207580878708523,
2014-01-05 00:00:00+00:00,3530.5,3540.25,3530.5,3538.25,1387,7.75,31.20602980581194,
2014-01-06 00:00:00+00:00,3538.25,3539.75,3505.75,3518.75,245118,-19.5,30.41318433276429,
2014-01-07 00:00:00+00:00,3519.0,3557.25,3518.5,3547.25,191617,28.25,30.475565044843215,
2014-01-08 00:00:00+00:00,3547.25,3569.5,3544.0,3560.0,207647,12.75,30.2028669624015,
2014-01-09 00:00:00+00:00,3560.25,3577.0,3535.5,3550.0,214636,-10.25,29.51516490245597,
2014-01-10 00:00:00+00:00,3550.0,3572.0,3529.5,3563.25,263081,13.25,29.094381286650968,
2014-01-12 00:00:00+00:00,3563.25,3563.25,3560.0,3561.0,396,-2.25,28.47147921378986,
2014-01-13 00:00:00+00:00,3560.75,3566.5,3492.5,3510.75,333295,-50.0,27.84967064132466,
2014-01-14 00:00:00+00:00,3511.0,3576.5,3503.25,3575.5,293244,64.5,31.830869423817294,
2014-01-15 00:00:00+00:00,3575.5,3610.25,3570.75,3600.75,234330,25.25,33.784323764898005,
2014-01-16 00:00:00+00:00,3601.0,3608.25,3591.75,3593.5,162381,-7.5,33.2069333974099,
2014-01-17 00:00:00+00:00,3593.75,3609.0,3574.25,3584.5,192262,-9.25,32.47892551730837,
2014-01-20 00:00:00+00:00,3588.25,3588.5,3587.5,3587.75,177,-0.5,31.850383706114442,
2014-01-21 00:00:00+00:00,3588.0,3612.0,3579.5,3606.25,201297,18.25,31.034399174685742,
2014-01-22 00:00:00+00:00,3606.0,3635.25,3605.0,3634.25,185267,28.25,30.41146853708839,
2014-01-23 00:00:00+00:00,3634.25,3635.0,3581.5,3611.5,286244,-22.75,30.142862420533117,
2014-01-24 00:00:00+00:00,3611.5,3621.25,3527.75,3527.75,378515,-83.75,30.476800798456292,
2014-01-26 00:00:00+00:00,3531.75,3533.25,3520.25,3528.75,4160,-3.0,40.128737439765885,31.430154394516702
