ts_event,open,high,low,close,volume
2014-01-02 00:00:00+00:00,3575.75,3579.0,3549.0,3560.75,197028
2014-01-03 00:00:00+00:00,3560.75,3566.5,3527.25,3530.75,194982
2014-01-05 00:00:00+00:00,3530.5,3540.25,3530.5,3538.25,1387
2014-01-06 00:00:00+00:00,3538.25,3539.75,3505.75,3518.75,245118
2014-01-07 00:00:00+00:00,3519.0,3557.25,3518.5,3547.25,191617
2014-01-08 00:00:00+00:00,3547.25,3569.5,3544.0,3560.0,207647
2014-01-09 00:00:00+00:00,3560.25,3577.0,3535.5,3550.0,214636
2014-01-10 00:00:00+00:00,3550.0,3572.0,3529.5,3563.25,263081
2014-01-12 00:00:00+00:00,3563.25,3563.25,3560.0,3561.0,396
2014-01-13 00:00:00+00:00,3560.75,3566.5,3492.5,3510.75,333295
2014-01-14 00:00:00+00:00,3511.0,3576.5,3503.25,3575.5,293244
2014-01-15 00:00:00+00:00,3575.5,3610.25,3570.75,3600.75,234330
2014-01-16 00:00:00+00:00,3601.0,3608.25,3591.75,3593.5,162381
2014-01-17 00:00:00+00:00,3593.75,3609.0,3574.25,3584.5,192262
2014-01-20 00:00:00+00:00,3588.25,3588.5,3587.5,3587.75,177
2014-01-21 00:00:00+00:00,3588.0,3612.0,3579.5,3606.25,201297
2014-01-22 00:00:00+00:00,3606.0,3635.25,3605.0,3634.25,185267
2014-01-23 00:00:00+00:00,3634.25,3635.0,3581.5,3611.5,286244
2014-01-24 00:00:00+00:00,3611.5,3621.25,3527.75,3527.75,378515
2014-01-26 00:00:00+00:00,3531.75,3533.25,3520.25,3528.75,4160
2014-01-27 00:00:00+00:00,3528.5,3545.0,3465.75,3475.0,442791
2014-01-28 00:00:00+00:00,3475.25,3525.25,3473.25,3513.75,297799
2014-01-29 00:00:00+00:00,3513.75,3529.0,3454.25,3489.0,396611
2014-01-30 00:00:00+00:00,3488.75,3537.25,3471.0,3518.5,314469
2014-01-31 00:00:00+00:00,3518.25,3532.75,3479.25,3515.25,324859
2014-02-02 00:00:00+00:00,3514.0,3529.75,3514.0,3528.0,1348
2014-02-03 00:00:00+00:00,3527.75,3529.0,3425.25,3442.75,437792
2014-02-04 00:00:00+00:00,3442.25,3473.75,3431.5,3453.75,323661
