ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2014-01-02 00:00:00+00:00,35,1,381207,122.796875,123.28125,122.78125,123.125,580877,ZN.v.0
2014-01-03 00:00:00+00:00,35,1,381207,123.125,123.390625,123.046875,123.125,504700,ZN.v.0
2014-01-05 00:00:00+00:00,35,1,381207,123.09375,123.109375,122.9375,123.0,10631,ZN.v.0
2014-01-06 00:00:00+00:00,35,1,381207,123.015625,123.59375,122.96875,123.5,641690,ZN.v.0
2014-01-07 00:00:00+00:00,35,1,381207,123.484375,123.6875,123.40625,123.59375,679922,ZN.v.0
2014-01-08 00:00:00+00:00,35,1,381207,123.609375,123.609375,123.0,123.125,1149948,ZN.v.0
2014-01-09 00:00:00+00:00,35,1,381207,123.140625,123.359375,123.015625,123.265625,997188,ZN.v.0
2014-01-10 00:00:00+00:00,35,1,381207,123.265625,124.359375,123.265625,124.3125,1596153,ZN.v.0
2014-01-12 00:00:00+00:00,35,1,381207,124.265625,124.390625,124.265625,124.390625,11370,ZN.v.0
2014-01-13 00:00:00+00:00,35,1,381207,124.390625,124.640625,124.234375,124.515625,736213,ZN.v.0
2014-01-14 00:00:00+00:00,35,1,381207,124.515625,124.578125,124.109375,124.125,803625,ZN.v.0
2014-01-15 00:00:00+00:00,35,1,381207,124.125,124.265625,123.75,123.921875,975602,ZN.v.0
2014-01-16 00:00:00+00:00,35,1,381207,123.921875,124.375,123.890625,124.3125,819747,ZN.v.0
2014-01-17 00:00:00+00:00,35,1,381207,124.3125,124.5,124.15625,124.484375,670306,ZN.v.0
2014-01-20 00:00:00+00:00,35,1,381207,124.46875,124.484375,124.375,124.40625,7202,ZN.v.0
2014-01-21 00:00:00+00:00,35,1,381207,124.40625,124.421875,124.0,124.34375,723237,ZN.v.0
2014-01-22 00:00:00+00:00,35,1,381207,124.328125,124.328125,123.84375,123.875,844717,ZN.v.0
2014-01-23 00:00:00+00:00,35,1,381207,123.859375,124.90625,123.859375,124.765625,1587939,ZN.v.0
2014-01-24 00:00:00+00:00,35,1,381207,124.75,125.5,124.671875,125.234375,1799431,ZN.v.0
2014-01-26 00:00:00+00:00,35,1,381207,125.203125,125.296875,125.171875,125.234375,11069,ZN.v.0
2014-01-27 00:00:00+00:00,35,1,381207,125.234375,125.25,124.8125,124.921875,1216544,ZN.v.0
2014-01-28 00:00:00+00:00,35,1,381207,124.921875,125.125,124.65625,124.828125,1188152,ZN.v.0
2014-01-29 00:00:00+00:00,35,1,381207,124.8125,125.734375,124.734375,125.515625,1907233,ZN.v.0
2014-01-30 00:00:00+00:00,35,1,381207,125.515625,125.640625,125.1875,125.453125,1321871,ZN.v.0
2014-01-31 00:00:00+00:00,35,1,381207,125.453125,125.90625,125.34375,125.890625,1345896,ZN.v.0
2014-02-02 00:00:00+00:00,35,1,381207,125.78125,125.78125,125.703125,125.71875,13333,ZN.v.0
2014-02-03 00:00:00+00:00,35,1,381207,125.71875,126.5,125.609375,126.359375,1559535,ZN.v.0
2014-02-04 00:00:00+00:00,35,1,381207,126.375,126.46875,126.0625,126.109375,1178877,ZN.v.0
2014-02-05 00:00:00+00:00,35,1,381207,126.109375,126.46875,125.796875,125.890625,1436242,ZN.v.0
2014-02-06 00:00:00+00:00,35,1,381207,125.890625,125.953125,125.53125,125.640625,1060023,ZN.v.0
2014-02-07 00:00:00+00:00,35,1,381207,125.65625,126.28125,125.21875,125.90625,1692605,ZN.v.0
2014-02-09 00:00:00+00:00,35,1,381207,125.859375,125.921875,125.828125,125.90625,7931,ZN.v.0
2014-02-10 00:00:00+00:00,35,1,381207,125.90625,126.109375,125.828125,125.96875,626634,ZN.v.0
2014-02-11 00:00:00+00:00,35,1,381207,125.96875,125.984375,125.453125,125.5625,1015852,ZN.v.0
2014-02-12 00:00:00+00:00,35,1,381207,125.5625,125.609375,125.09375,125.28125,993100,ZN.v.0
