ts_event,close,high,low,open
2014-01-02,4.667955925700919,4.837576326415342,4.566183685272273,4.80365224627246
2014-01-03,4.922389980390167,5.041124259198582,4.70187947996873,4.7188415197985005
2014-01-06,4.956316646900078,5.210747262056574,4.888468482858342,5.10897501599398
2014-01-07,4.9732836595708205,5.159866135634364,4.854549356621289,5.159866135634364
2014-01-08,5.092018407051996,5.142904537493958,4.939360015726108,5.041132276610034
2014-01-09,5.227698090709195,5.27858818113302,4.990229587687507,5.210736054779077
2014-01-10,5.159861928296381,5.261634176508591,4.990241514609381,5.210748052402488
2014-01-13,4.600112404456538,5.176825822205228,4.532264235619624,5.108977653368315
2014-01-14,4.905427873607142,4.956317981100064,4.6170731660778115,4.803655623890911
2014-01-15,5.346447555853532,5.380371637859108,5.058088876171432,5.075050917174229
2014-01-16,5.108963343228015,5.261621664570154,5.02415316470461,5.244663611498879
2014-01-17,4.990238407522271,5.227706966848787,4.905424225128389,5.159858807041211
2014-01-21,5.02416507403218,5.22770956759567,4.803654556703711,5.193785485335087
2014-01-22,5.041134539646782,5.125944762202642,4.93936227257976,5.092020673180297
2014-01-23,4.430476618963128,4.888459581621485,4.260856249559065,4.87149356204738
2014-01-24,3.599333386594869,4.243894783050695,3.599333386594869,4.243894783050695
2014-01-27,3.3788309043032525,3.819847953232868,3.1752864121671163,3.6502275431194233
2014-01-28,3.8537649883402545,3.8876890637337356,3.5314822894682956,3.5654103474956567
2014-01-29,3.4297245834839054,3.7859315028824088,3.3449143604450935,3.46364867269943
2014-01-30,3.9385779751992414,4.006426131238853,3.633261273020985,3.7519955460903103
2014-01-31,3.5145326644551758,3.8537775189033554,3.3279501849580737,3.39579835932066
2014-02-03,2.6155262872916656,3.5654124007302217,2.5646401712807987,3.480598224744664
2014-02-04,2.954773328839892,3.1413557663405993,2.6664146700680678,2.7851529311119765
2014-02-05,2.920854021161563,3.039588315699892,2.6664194073730534,2.9038919790846576
2014-02-06,3.463634079386805,3.4805961170553497,2.971731004365091,2.988693042033636
2014-02-07,3.9046562145770443,3.9385802947738178,3.4975632695813994,3.6162975502700845
2014-02-10,3.9385779751992414,3.97250205321905,3.735033507080404,3.9216159361893403
2014-02-11,4.31174923031353,4.4135254537354145,3.887694244398074,4.057318628344926
2014-02-12,4.31174923031353,4.481369631625926,4.176052909263603,4.362635350707248
2014-02-13,4.447438725746154,4.46440474535259,3.9894637274825855,3.9894637274825855
2014-02-14,4.498339763758383,4.532263847818764,4.328715360821587,4.396563528942343
2014-02-18,4.566193096778203,4.634041274428205,4.396568670017751,4.532269007953207
2014-02-19,4.057322534455852,4.667960027586481,4.040360492497644,4.447449499494809
2014-02-20,4.159092722210152,4.243902927187855,3.887696083646851,4.091240575593334
2014-02-21,4.226938696398396,4.36263501620714,4.091238393955232,4.226938696398396
2014-02-24,4.498339763758383,4.684922226090473,4.226943108640451,4.243905150670643
2014-02-25,4.277827469691332,4.498337988051235,4.193017263643181,4.481371964206898
